Text,Sentiment,Focus,Energy Level,Your Name
,"(1 - postive, -1 Negative)","(1 outward, -1 inward","(1 high, -1 low)",(
through the seas which surround the pole. You may remember that a,-0.25,0.5,-0.75,Hunter
"done by paying the insurance for the owner, and to engage as many",-0.25,0.5,0.25,Nick
"thought more and that my daydreams are more extended and magnificent,",0.75,-0.75,-0.25,Nick
"conceive a consolation for my toils which I may never know, that I am",-0.25,-1,-0.25,Rachel
"its homeward voyage from Archangel; more fortunate than I, who may not",0,0.5,-0.25,Rachel
air he fainted. We accordingly brought him back to the deck and,-1,0.5,0.7,Hunter
"with any degree of certainty, for the ice had not broken until near",-0.75,0.25,0.8,Hunter
countenance. At first I perceived that he tried to suppress his,0.5,0.5,0.25,Hunter
voice whose varied intonations are soul-subduing music.,-0.5,-0.5,-0.5,Hunter
lineaments of his face are irradiated by the soul within.,-0.75,-0.75,0.25,Hunter
there was no other prospect of support. But Caroline Beaufort,-1,0.5,-0.25,Rachel
deep consciousness of what they owed towards the being to which they,-0.5,1,0.5,Rachel
when Providence afforded her such powerful protection. They consulted,0.75,1,0.75,Rachel
Clerval was the son of a merchant of Geneva. He was a boy of singular,0.75,1,0.5,Rachel
"self. Besides, in drawing the picture of my early days, I also record",0.25,-1,-0.25,Rachel
in their secondary and tertiary grades were utterly unknown to him. I,0,0.75,0.25,Rachel 
be known. All that had so long engaged my attention suddenly grew,-0.25,-0.75,0.25,Rachel 
were placed on the prospect of your union. This expectation will now,-0.5,0.75,0.5,Rachel 
restrained but firm resolve not to be chained to the miserable details,-0.5,0,0.75,Rachel
where no one was kind enough to inform you that these fancies which you,-0.75,1,0.25,Rachel
the sweetest I had ever heard. He began his lecture by a,1,1,0.75,Rachel 
"fail in ultimately turning to the solid advantage of mankind."" I",-0.75,0.75,0.25,Rachel 
"was rapid. My ardour was indeed the astonishment of the students, and",0.75,-0.75,0.5,Rachel 
"analysing all the minutiae of causation, as exemplified in the change",0,0.5,0.5,Rachel 
imagination was too much exalted by my first success to permit me to,-0.25,-0.5,0.5,Rachel 
dissecting room and the slaughter-house furnished many of my materials;,-0.25,1,0.75,Rachel 
"enthusiasm was checked by my anxiety, and I appeared rather like one",-1,-1,0.75,Rachel 
held the corpse of my dead mother in my arms; a shroud enveloped her,-1,1,1,Rachel
And turns no more his head;,-0.75,1,0.75,Rachel
"I trembled excessively; I could not endure to think of, and far less to",-1,-1,1,Rachel
distinction between the several classes of its inhabitants; and the,0.25,0.5,0.25,Rachel
"""I must say also a few words to you, my dear cousin, of little darling",0.75,0.75,0.5,Rachel
had made in the sciences. He soon perceived that I disliked the,0.75,0.25,0.5,Rachel
"repaid my labours. Their melancholy is soothing, and their joy",0.5,-0.25,0.25,Rachel
"in imitation of the Persian and Arabic writers, he invented tales of",0.25,0.75,0.5,Rachel
Elizabeth also suffered extreme anguish. About five in the morning I,-1,1,0.75,Rachel
room in the extremest agitation. Tears also gushed from the eyes of,-1,0.75,1,Rachel
these preliminary circumstances; but they were days of comparative,0,0.25,0,Rachel
he be (I shuddered at the conception) the murderer of my brother? No,-1,0.25,0.75,Rachel
"told the servants not to disturb the family, and went into the library",-0.25,1,0.75,Rachel
"leaves no hope for doubt. But she will be tried today, and you will",-0.75,0.75,0.25,Rachel
"cousin,"" said she, ""fills me with hope. You perhaps will find some",0.75,0.75,0.75,Rachel
"was tranquil, yet her tranquillity was evidently constrained; and as",0.25,0.75,0.5,Rachel
"It was dawn, and she quitted her asylum, that she might again endeavour",0.25,0.75,0.75,Rachel
"chief proof rests, if she had earnestly desired it, I should have",0.25,0.25,0.5,Rachel
Soon after we heard that the poor victim had expressed a desire to see,-0.75,1,0.75,Rachel
"No! No! I never could survive so horrible a misfortune.""",-1,-1,1,Rachel
appeals were lost upon them. And when I received their cold answers,-0.75,0.75,0.5,Rachel
My father observed with pain the alteration perceptible in my,-0.75,-0.75,0.25,Rachel
"inflamed, and I ardently wished to extinguish that life which I had so",-1,-0.75,0.75,Rachel
"the power of rendering you happy? Ah! While we love, while we are",0.75,1,0.5,Rachel 
"overhangs it. Soon after, I entered the valley of Chamounix. This",0,0.75,1,Nick
"last month. I retired to rest at night; my slumbers, as it were,",-0.25,-0.5,-0.75,Nick
"We feel, conceive, or reason; laugh or weep,",0,0.25,0.5,Nick
"wretched; how, then, must I be hated, who am miserable beyond all",-1,-0.5,-0.5,Nick
my destruction. Shall I not then hate them who abhor me? I will keep,-1,0.5,0.5,Nick
drink and the trees that shaded me with their foliage. I was delighted,0.75,0.5,0.25,Nick
"""Food, however, became scarce, and I often spent the whole day",-0.5,-0.5,-0.25,Nick
"low that I could with difficulty sit upright in it. No wood, however,",-0.25,-0.25,-0.5,Nick
filled up with wood. In one of these was a small and almost,0,0.5,0,Nick
delighted to find that the setting of the sun did not put an end to the,1,-0.75,-0.25,Nick
"really express pain? I was at first unable to solve these questions,",-0.25,-0.25,0.25,Nick
"youth 'Felix,' 'brother,' or 'son.' I cannot describe the delight I",1,0.75,0.25,Nick
"overlook the deformity of my figure, for with this also the contrast",-0.5,0.25,0,Nick
afterwards their love.,0.5,0.5,0,Nick
"dark, but gentle, although animated; her features of a regular",0.25,0.75,-0.25,Nick
vicious and base? He appeared at one time a mere scion of the evil,-0.75,0.75,0.5,Nick
"""Felix had accidentally been present at the trial; his horror and",-0.5,1,0.25,Nick
emulation for virtue. The prospect of marrying a Christian and,0.5,0.5,0,Nick
"trial took place, the result of which deprived them of their fortune",-0.5,1,0.5,Hunter
into good hands. The Italian had mentioned the name of the spot for,0.75,0.75,0.5,Hunter
condition. I found myself similar yet at the same time strangely,0,-1,-0.5,Nick
the dress which I had taken from your laboratory. At first I had,0,-0.25,0.5,Nick
smiles of consolation. But it was all a dream; no Eve soothed my,-0.25,-1,-0.75,Nick
"excellent opportunity; yet, when I proceeded to execute my plan, my",0.25,-0.25,0.5,Nick
"""'That is indeed unfortunate; but if you are really blameless, cannot",-0.5,1,-0.5,Nick
"beholding me? Agatha fainted, and Safie, unable to attend to her",-0.5,1,0.5,Nick
conclusions. I had certainly acted imprudently. It was apparent that,-0.25,-0.5,0.25,Nick
departed. I never saw any of the family of De Lacey more.,-0.25,0.75,0.5,Nick
heartless creator! You had endowed me with perceptions and passions,-0.25,0.25,0.5,Nick
who was probably the person from whom she had playfully fled. On,0.5,0.75,0.5,Nick
his eyes and uttered a shrill scream; I drew his hand forcibly from his,-0.5,0.75,1,Nick
"creator, would tear me to pieces and triumph; remember that, and tell",-0.5,1,0.75,Nick
"and persuade you to promise what I so ardently desire.""",0.25,0.5,0.5,Nick
vain to cope with. After a long pause of reflection I concluded that,-0.25,-1,-0.75,Nick
"loved them to adoration; and to save them, I resolved to dedicate",1,0.25,0.25,Nick
experience of man that what I conceived to be the best assistants to my,0.5,0.75,0,Nick
"should often lose all self-command, all capacity of hiding the",-0.5,-1,0.5,Nick
the moment; and my present sensations strongly intimated that the fiend,-0.5,-0.25,0.25,Nick
"the dark Rhine rushing beneath; and on the sudden turn of a promontory,",-0.25,1,0.75,Nick
"By thought supplied, or any interest",0,0,-0.5,Nick
the information they might give me on the subject in which my interest,0,0.75,0.25,Nick
stately deer were all novelties to us.,0.25,1,0,Nick
"of natural history, where the curiosities are disposed in the same",0,0.5,-0.5,Nick
I was impatient to arrive at the termination of my journey.,-0.25,-0.5,0.5,Nick
far different from this desolate and appalling landscape. Its hills,-0.75,1,-0.25,Nick
"animal, might refuse to comply with a compact made before her creation.",-0.25,-0.25,-0.5,Nick
"In a few minutes after, I heard the creaking of my door, as if some one",0,0.75,0.5,Nick
"beneath words. Leave me; I am inexorable.""",-1,0.5,-0.75,Nick
reflect upon what had passed with greater composure; yet still the,0.25,-1,-0.5,Nick
"towards land, but I sailed away from them. I felt as if I was about",-0.25,0.5,0.75,Nick
"It had a wild and rocky appearance, but as I approached nearer I easily",0,0.75,0.5,Nick
an unfavourable augury from my manner.,-0.75,0.25,-0.5,Nick
"to this. I lay for two months on the point of death; my ravings, as I",-0.75,-1,-1,Nick
of reality.,0,1,0,Nick
"""What a place is this that you inhabit, my son!"" said he, looking",-0.25,0.75,0.25,Nick
no light but the glimmer of two eyes that glared upon me. Sometimes,-0.25,1,-0.25,Nick
by means of this drug only that I was enabled to gain the rest,-0.5,-0.75,-1,Nick
"""Yet I fear that the same feelings now exist that made you so miserable",-1,-0.75,-1,Nick
"""Elizabeth Lavenza",0,0,0,Nick
"earnestly entreat, and I know you will comply.""",0,0.75,0.75,Nick
Great God! If for one instant I had thought what might be the hellish,-0.75,0.25,0.5,Nick
all smiled on our nuptial embarkation.,0.5,0.5,-0.25,Nick
I behold this and live? Alas! Life is obstinate and clings closest,-0.5,-0.75,0.25,Nick
"of William, the execution of Justine, the murder of Clerval, and lastly",-1,1,0.5,Nick
"understood, a solitary cell had been my habitation.",-0.5,-1,-0.5,Nick
"venture to intrude? Besides, some months have elapsed since the",-0.25,0.75,-1,Nick
"hateful. I provided myself with a sum of money, together with a few",-0.5,-0.25,0.25,Nick
"silver tones of my Elizabeth's voice, and beheld Clerval enjoying",0.5,0.75,-0.25,Nick
to meet and grapple with him.,-0.25,0.75,1,Nick
discover what it could be and uttered a wild cry of ecstasy when I,1,0,1,Nick
shall not live--swear that he shall not triumph over my accumulated,-0.75,1,0.75,Nick
and his own elevated and gentle manners have created. I wish to soothe,0.5,0.75,-0.5,Nick
